,Fiscal.Year,naics,totaliniaccpt,totaliniden,totalinitial,iaccptperc,,idenperc,
94,2012,61,11235,357,11592,96.92028986,5.57941748,3.079710145,5.57941748
83,2012,42,883,83,966,91.40786749,5.566172957,8.592132505,5.566172957
254,2019,23,670,95,765,87.58169935,5.552101038,12.41830065,5.552101038
12,2009,49,42,6,48,87.5,5.537518038,12.5,5.537518038
205,2017,31,318,38,356,89.3258427,5.444799505,10.6741573,5.444799505
95,2012,62,5654,536,6190,91.34087237,5.289370229,8.659127625,5.289370229
79,2012,23,329,15,344,95.63953488,5.288657691,4.360465116,5.288657691
212,2017,49,48,5,53,90.56603774,5.281658911,9.433962264,5.281658911
208,2017,42,688,148,836,82.29665072,5.228101758,17.70334928,5.228101758
140,2014,53,340,54,394,86.29441624,5.015454092,13.70558376,5.015454092
186,2016,48,278,43,321,86.60436137,4.753663321,13.39563863,4.753663321
187,2016,49,74,7,81,91.35802469,4.717582869,8.641975309,4.717582869
198,2016,81,426,75,501,85.02994012,4.702202737,14.97005988,4.702202737
128,2014,22,219,7,226,96.90265487,4.487485207,3.097345133,4.487485207
177,2016,21,178,11,189,94.17989418,4.443959031,5.82010582,4.443959031
248,2018,81,370,99,469,78.891258,4.298397177,21.108742,4.298397177
155,2015,31,460,35,495,92.92929293,4.297898484,7.070707071,4.297898484
61,2011,48,422,81,503,83.89662028,4.238972942,16.10337972,4.238972942
133,2014,42,1189,150,1339,88.79761016,4.232966357,11.20238984,4.232966357
11,2009,48,577,52,629,91.73290938,4.23290938,8.26709062,4.23290938
229,2018,23,723,145,868,83.29493088,4.220041008,16.70506912,4.220041008
111,2013,48,382,52,434,88.01843318,4.147465438,11.98156682,4.147465438
13,2009,51,2579,193,2772,93.03751804,4.060107292,6.962481962,4.060107292
5,2009,31,793,63,856,92.64018692,3.982182962,7.359813084,3.982182962
92,2012,55,333,24,357,93.27731092,3.959315855,6.722689076,3.959315855
70,2011,62,7068,1065,8133,86.90520103,3.901390468,13.09479897,3.901390468
227,2018,21,183,12,195,93.84615385,3.751814224,6.153846154,3.751814224
173,2015,81,469,62,531,88.32391714,3.711481093,11.67608286,3.711481093
165,2015,53,274,35,309,88.67313916,3.663168395,11.32686084,3.663168395
4,2009,23,417,17,434,96.08294931,3.442762393,3.917050691,3.442762393
180,2016,31,373,28,401,93.01745636,3.430631073,6.982543641,3.430631073
244,2018,61,10765,548,11313,95.1560152,3.405878617,4.843984796,3.405878617
231,2018,32,1468,164,1632,89.95098039,3.25226451,10.04901961,3.25226451
194,2016,61,12222,438,12660,96.54028436,3.161977952,3.45971564,3.161977952
148,2014,81,532,79,611,87.07037643,3.116539456,12.92962357,3.116539456
78,2012,22,306,4,310,98.70967742,3.070142536,1.290322581,3.070142536
25,2009,99,2402,511,2913,82.45794713,3.059294246,17.54205287,3.059294246
119,2013,61,12066,446,12512,96.43542199,3.013115036,3.564578005,3.013115036
8,2009,42,757,71,828,91.42512077,2.851713571,8.574879227,2.851713571
10,2009,45,549,32,581,94.49225473,2.759345353,5.507745267,2.759345353
237,2018,49,169,23,192,88.02083333,2.73018946,11.97916667,2.73018946
41,2010,54,38848,3179,42027,92.43581507,2.629974402,7.564184929,2.629974402
144,2014,61,11193,331,11524,97.12773343,2.616825614,2.872266574,2.616825614
86,2012,48,435,64,499,87.1743487,2.569241046,12.8256513,2.569241046
3,2009,22,436,6,442,98.64253394,2.559584628,1.357466063,2.559584628
169,2015,61,11581,373,11954,96.87970554,2.53936137,3.120294462,2.53936137
36,2010,48,400,67,467,85.65310493,2.44213317,14.34689507,2.44213317
66,2011,54,60742,4285,65027,93.41042951,2.411297506,6.589570486,2.411297506
206,2017,32,1033,57,1090,94.7706422,2.401503433,5.229357798,2.401503433
158,2015,42,981,106,1087,90.24839006,2.314505767,9.751609936,2.314505767
269,2019,61,8453,411,8864,95.36326715,2.228871815,4.636732852,2.228871815
183,2016,42,936,175,1111,84.24842484,2.152901857,15.75157516,2.152901857
91,2012,54,89199,4273,93472,95.42857754,2.151266618,4.571422458,2.151266618
219,2017,61,10816,406,11222,96.38210658,2.12632623,3.617893424,2.12632623
103,2013,22,244,7,251,97.21115538,2.102459726,2.788844622,2.102459726
256,2019,32,1297,133,1430,90.6993007,1.944498773,9.300699301,1.944498773
202,2017,21,221,5,226,97.78761062,1.929622454,2.212389381,1.929622454
123,2013,81,537,82,619,86.75282714,1.861034246,13.24717286,1.861034246
233,2018,42,953,358,1311,72.69260107,1.79707868,27.30739893,1.79707868
238,2018,51,6211,633,6844,90.75102279,1.782830396,9.248977206,1.782830396
215,2017,53,249,51,300,83,1.775783427,17,1.775783427
45,2010,62,6875,1036,7911,86.90431045,1.743020131,13.09568955,1.743020131
154,2015,23,477,27,504,94.64285714,1.713564214,5.357142857,1.713564214
152,2015,21,374,11,385,97.14285714,1.688311688,2.857142857,1.688311688
52,2011,21,644,11,655,98.32061069,1.687614054,1.679389313,1.687614054
81,2012,32,1780,74,1854,96.00862999,1.655315972,3.991370011,1.655315972
190,2016,53,289,48,337,85.75667656,1.601074915,14.24332344,1.601074915
56,2011,32,1703,74,1777,95.83567811,1.487326402,4.164321891,1.487326402
27,2010,21,486,9,495,98.18181818,1.418064137,1.818181818,1.418064137
31,2010,32,1261,62,1323,95.31368103,1.372979926,4.686318972,1.372979926
102,2013,21,673,10,683,98.53587116,1.324715778,1.464128843,1.324715778
116,2013,54,83453,6678,90131,92.59078452,1.293007524,7.409215475,1.293007524
106,2013,32,1477,59,1536,96.15885417,1.267697634,3.841145833,1.267697634
